video_id,yt8m_file,random_id,youtube_id,duration,views,labels
video_29,train0027,7qaB,1vE2n1bZKEc,197,96007,[  11   62  250  411 1154]
video_30,train0027,PKaB,Po4AsS0RTNE,211,181778,[989]
video_31,train0027,IqaB,tPDYg0Kkqhs,241,828489,[0]
video_32,train0027,rvaB,OhxczyUSrOI,163,1486695,[  66 1248 1712]
video_33,train0027,Q0aB,0LfZuxzqrbM,181,175989,[ 25 223]
video_34,train0027,RTaB,RbMWACwRsV4,276,58534,[  2  45  51  56  77 137 540]
video_35,train0027,EsaB,9FNKm_qNp8g,231,116314,[  21   23   24  343  858 2778]
video_36,train0027,tBaB,dH_-FFn2BYA,183,53715,[6]
video_37,train0027,2RaB,KQRw2oizhwE,154,86729,[357 372]
video_38,train0027,sBaB,5xkaaY-H_sA,281,64756,[ 5 16]
video_39,train0027,JlaB,e_MfulHlO7g,136,65569,[  15   18  555 1225 3467]
video_40,train0027,vWaB,Kuoxx_sIQ_0,246,60781,[ 21  23  24 115]
video_41,train0027,EQaB,tYMK7OwaCG8,153,323912,[ 100 1103]
video_42,train0027,STaB,HQtQap-4yX8,131,93862,[  6 381]
video_43,train0027,6waB,K9Cpngug8Oc,124,1132459,[  2   7 712]
video_44,train0027,h1aB,bf_YesfhfpI,227,453612,[ 39  50  65 256 913 933]
video_45,train0027,VwaB,wgGf3s_a9-E,144,86223,[ 422  485 1112 2393]
video_46,train0027,8qaB,oFC20xPGX9A,216,75642,[100 161 548 567]
video_47,train0027,3IaB,iZV_oHEmq9s,173,103367,[ 2 30]
video_48,train0027,flaB,Ske2RnuWTU8,161,72893,[   5  307 1299]
video_49,train0027,RWaB,byp_T4rGmCY,221,395057,[  18   59  126  276 1121 1138]
video_50,train0027,DnaB,RmIXZCdTv5Q,180,640357,[  0   1  19  48 349]
video_51,train0027,owaB,JCaKpR4our4,159,1416296,[ 25 144]
video_52,train0027,pFaB,_EgNeA8A2V0,226,58988,[  11   20   22   32  123  221 1163]
video_53,train0027,8MaB,tjbasH5ztTw,188,89305,[  11   18   20   22   29   32   59  477  528  604  991 2419]
video_54,train0028,M7aC,m1I6OUij3Ks,212,81525,[ 49 127 260]
video_55,train0028,saaC,bCCnekFNKPE,298,56409,[1587]
video_56,train0028,wWaC,llrSSylkJDk,189,1219225,[ 5 16]
video_57,train0028,DRaC,aE2LzYAGFNE,169,2233670,[730 824]
video_58,train0028,bAaC,0p3ddgqbYQo,194,101582,[ 21  23  24 115]
video_59,train0028,GMaC,lLkUfmZGlbA,249,53393,[148]
video_60,train0028,rTaC,_V5kIV3eCrY,257,276592,[ 0  1 27]
video_61,train0028,8aaC,ys8d2Rk7T8E,221,58235,[6]
video_62,train0028,3MaC,nvndE1nKz8I,167,84946,[  21   23   24 1309]
video_63,train0028,68aC,D567CdywIlU,194,452613,[  2  44  46 107 109 114 138 145 162 507 785]
video_64,train0028,uwaC,blHrlyxKvuQ,122,139714,[  0   1  35 134 354]
video_65,train0028,v4aC,28PTlGKzYHA,152,82468,[61]
video_66,train0028,miaC,8pEJD8CMBq0,124,53106,[146]
video_67,train0028,6LaC,bKte3xHM5kg,143,123588,[   0    1  352 1185]
video_68,train0028,yZaC,cIZ0vwQNhrY,243,137896,[  0   1  63 167]
video_69,train0028,6CaC,IVp8NdnYun4,154,101024,[ 15  18  59 604 823]
video_70,train0028,k1aC,uGCmoFcMaFw,272,220064,[362]
video_71,train0028,gHaC,CyC05VJmDNE,267,458785,[   0    1  285 1176]
video_72,train0028,uIaC,bBmwHzkNIwE,132,99281,[ 341  580 1510]
video_73,train0028,uvaC,2doJU4cc94g,170,122035,[ 514  652 2177]
video_74,train0028,SYaC,Wb7S_T-Dswc,259,95824,[ 6  8 71]
video_75,train0029,CuaD,fq_KL7oNsZU,174,52751,[ 175  381 1101]
video_76,train0029,wZaD,Ubp4kIGnFBI,297,57644,[ 11  20  22  29  32 122 483]
video_77,train0029,TraD,0oCayl60bxs,238,85229,[ 92 110]
video_78,train0029,YTaD,0ahUojQvfWM,192,1123612,[ 261 1348]
video_79,train0029,ikaD,VojjJqJgtmk,175,58760,[  11   83  720 1081]
video_80,train0029,XAaD,jhSIfaYmHEY,185,3893689,[   5   16 2273]
video_81,train0029,5ZaD,5OBoQPMkHjs,193,243079,[100]
video_82,train0029,6NaD,qEap5KI_RKE,136,89195,[ 53  58 214 494]
video_83,train0029,XoaD,pR3ud1o4e_o,187,52062,[  46  107  109  114  145  507 2197]
video_84,train0029,izaD,slVhFHdpu9Q,220,101744,[ 0  1 35 85]
video_85,train0029,NnaD,6qUNFnjmP4o,145,697739,[939]
video_86,train0029,cyaD,ovuWv8XNfuk,270,129393,[ 63 167]
video_87,train0029,PqaD,bliuSOUaoRI,231,226372,[ 347 1982]
video_88,train0029,2xaD,4pQSBkazVvI,291,62754,[ 5 16]
video_89,train0029,buaD,I4nOk8a2U1k,226,71832,[ 21  23  24  74 131 684]
video_90,train0029,WUaD,i9dq1NTRhbM,146,204070,[  2   7  26  75 130 435 636 808]
video_91,train0029,mNaD,v4EI_aF8gJw,144,316954,[   2    7   17   48  171  174  213  715  830 1708]
video_92,train0029,0HaD,n_1A2jciCf8,270,75543,[282]
video_93,train0029,dcaD,oUOmFcyOsKk,300,169198,[  2   7  75 500]
video_94,train0030,QfaE,oxhSaaISGkY,192,60234,[  21   23 2264]
video_95,train0030,KzaE,cZ3-b5fvYEQ,144,79290,[  2   7  90 174 361]
video_96,train0030,NwaE,ZgSZ1JZg0fQ,180,624065,[  0 312]
video_97,train0030,dcaE,VDAorBk2N9A,143,115978,[5]
video_98,train0030,7IaE,o5m_RwqJ2Y0,243,155259,[ 0 52 70]
video_99,train0030,XFaE,xnj_oZ9k-lA,243,850185,[8]
video_100,train0030,ZbaE,d7ly2OLd6Mc,191,61262,[  0   1   5 577]
video_101,train0030,dzaE,o7frrIYfRaA,165,68242,[15]
video_102,train0030,6EaE,x_IRiAQAfKc,238,509801,[  26 2459]
video_103,train0030,MXaE,2zHphX4PE-I,173,103403,[  0  52  70 125]
video_104,train0030,tsaE,J5LLlkn9iQg,172,644303,[225]
video_105,train0030,ZcaE,KG6GLk9tMdw,227,50278,[2 7]
video_106,train0030,6oaE,eQJi98gZN2Q,145,52203,[   0    1  190 3121]
video_107,train0030,U9aE,TCohSEefQxU,126,83710,[ 39 121 156 202 207 233 338 627]
video_108,train0030,MAaE,RW_7bj0ZUns,266,187578,[2 7]
video_109,train0030,XEaE,IexOBRtFFw0,197,65896,[141 247 255]
video_110,train0030,WcaE,Dl_5DyVUnow,159,438550,[ 0  1 27]
video_111,train0030,TkaE,5W9BhW39MI4,201,83343,[5]
video_112,train0031,ekaF,OU2KaSqeqoo,246,1622057,[180]
video_113,train0031,tnaF,OFDvWmtnnO0,138,78330,[290]
video_114,train0031,QXaF,8_jNqB2nYMM,131,68049,[ 0 52 70]
video_115,train0031,p6aF,XsvVJGmAVoA,125,510623,[ 0 12]
video_116,train0031,OAaF,WSfn8EQCbGY,206,329165,[ 818 3727]
video_117,train0031,EuaF,iw_MWnUyX4E,170,68473,[349]
video_118,train0031,RVaF,b-6bOZ3hsjw,142,300365,[939]
video_119,train0031,2TaF,gOJJm_cSRds,245,440401,[734]
video_120,train0031,s0aF,7Q3xi19qTyk,208,59099,[  26  334  527  569 1320 2392 3291]
video_121,train0031,JtaF,HJ-7I4NDSmA,221,231977,[  0   1  27 282]
video_122,train0031,xMaF,w_9qn1Ij-EM,143,1002950,[939]
video_123,train0031,zfaF,mwAajx33nIU,236,116928,[  0   1  36  94 147 423]
video_124,train0031,pbaF,44pvMc9Oim4,186,232717,[220]
video_125,train0031,Z9aF,GiBJ92r2b8M,159,124036,[5]
video_126,train0031,UPaF,K6Qg-0zraZY,270,179298,[  11   20   22   29  426 3459]
video_127,train0032,J1aG,ZkVnBbLkLGc,178,141059,[   2    7  224  267 2742]
video_128,train0032,neaG,7l-IrAB0eAM,288,122291,[61]
video_129,train0032,6XaG,1YgzjXffK_c,138,77708,[ 0 12]
video_130,train0032,B9aG,u1ELZFxcltQ,237,295769,[ 15 555]
video_131,train0032,yUaG,Uhgk-Jcw4sc,223,359233,[   5   16 3133]
video_132,train0032,GfaG,K4rZnnVN4es,247,50595,[12]
video_133,train0032,BxaG,CD2gCaCDOu8,201,65261,[  11   20   22   29   32  112  120  122  173  426  543 1096 2864]
video_134,train0032,4yaG,Mut1Hfmib4s,181,296903,[  2  45  51  56  77 137 456 721]
video_135,train0032,nmaG,eaPW4ZSc2RQ,199,105980,[ 5 16]
video_136,train0032,dmaG,UEztj1p2XAw,205,72311,[1103 1223]
video_137,train0032,GsaG,R5Lgcawu4eE,287,19190776,[ 5 16]
video_138,train0032,eTaG,UQcJq_LaGyc,161,70394,[ 43  60 286 374 693]
video_139,train0032,0CaG,EfQs4Qqofdg,268,330686,[ 0 12]
video_140,train0032,hRaG,ikNT4az4rPA,238,76299,[  0   1 180 387]
video_141,train0032,LxaG,Ywa2UqPvmyk,234,2568577,[ 15  18  26 170 782]
video_142,train0032,H2aG,pmWSNqROYW0,181,553954,[  11   20   62  176 1356 2108]
video_143,train0032,CFaG,_TDciuQU2Vg,252,168214,[1151]
video_144,train0032,GmaG,-lPjrR53mI8,293,401127,[  0   1  27 192]
video_145,train0033,SdaH,BLJvUcLsCGI,237,55395,[  0   1  63 989]
video_146,train0033,R1aH,n5oVNhcd0kk,299,399574,[238 274 311 360]
video_147,train0033,hGaH,5HmWS5PEHJM,154,156168,[ 5 16]
video_148,train0033,2oaH,lMRP3dqFxBI,122,93309,[310 962]
video_149,train0034,XtaI,G_i4CdNbhhE,147,606636,[  15 1263]
video_150,train0034,aRaI,wUQ-hQvlLB4,257,67846,[1]
video_151,train0034,BWaI,h8bFycPndOs,188,81275,[ 0 12]
video_152,train0034,vIaI,hhw2QJJsSz0,163,365438,[25]
video_153,train0034,xHaI,Vw-iVWBjRFA,236,177024,[146 158 279 439 454]
video_154,train0034,1EaI,4dumNmla1yE,190,55414,[   2   75  172  224  267 3507]
video_155,train0034,kPaI,HtPdQusRtyg,220,131926,[325]
video_156,train0034,gyaI,fK0kq1UJUug,216,541863,[  11   20   22   29   32  211  334  564  605 1096]
video_157,train0034,BdaI,QO3YADwNXn4,240,99133,[346]
video_158,train0034,JuaI,3dTkQwlt4xM,124,137789,[136]
video_159,train0034,8gaI,nW1epen9JrY,181,84715,[3149]
video_160,train0034,G0aI,bC_nCm-I7Gw,190,58011,[  11 1034]
video_161,train0034,ifaI,M0XEK1g0U6c,164,101101,[422 485]
video_162,train0034,pCaI,u5ESPDomKgk,228,112081,[1022]
video_163,train0034,6laI,T_CJmxqasx8,129,193050,[  2   7  83 541]
video_164,train0034,LSaI,T1l3olro-JQ,178,933154,[161]
video_165,train0034,UwaI,hTYooGSXers,199,107786,[   2    7   90 2159]
video_166,train0034,SkaI,11vkUcnb6jQ,128,161254,[   2    7  235  399 1435 1789]
video_167,train0034,l8aI,G6S5YDzQ8lQ,254,424899,[   2   17   30   55 1592]
video_168,train0034,5kaI,jS5m1KAwVzc,151,55611,[  11   20   22  229 1861]
video_169,train0034,uWaI,JA68bcQGCYU,123,86223,[18 67]
video_170,train0034,gxaI,IkPJnR13ZpU,285,402770,[0 1]
video_171,train0034,cVaI,QkjEFZfq6Uw,289,74554,[0 1 5]
video_172,train0034,wXaI,Q39yxBpZga8,289,558686,[148 253]
video_173,train0034,LEaI,pEP4a_XYL3c,175,1973164,[  15   18   67  140 2695]
video_174,train0034,b0aI,7dnpaxChRMs,276,121233,[  11 1077]
video_175,train0035,y8aJ,3lk8fOyrP9c,180,262626,[50 65]
video_176,train0035,1yaJ,hvbrDcmiaNw,162,96355,[   2    7   83  208 2805]
video_177,train0035,GNaJ,zpjADB2Ags4,250,228391,[ 21  23  24  73 288 322]
video_178,train0035,tmaJ,tUgvExOcNiA,136,319622,[ 39 156]
video_179,train0035,dgaJ,w37K-AhbswQ,219,64674,[2629]
video_180,train0035,g4aJ,fonE_zyBz9M,188,142812,[29 32]
video_181,train0035,sXaJ,Gy1_zM4DqpI,197,133412,[599]
video_182,train0035,IVaJ,uBaYVkcapCg,226,4560002,[216]
video_183,train0035,KEaJ,P3oPCBcJwqE,166,229735,[  11   20   22   32  321  370 1165 2436]
video_184,train0035,eoaJ,YECkHvebGoA,272,363589,[   0   42  255 1097]
video_185,train0035,jMaJ,MVHdAZ536M0,150,182752,[329]
video_186,train0035,XFaJ,Ouatq00ByMM,203,479391,[   2   30   55  905 1762]
video_187,train0036,O5aK,F7RJuFelW4E,124,111354,[939]
video_188,train0036,zXaK,-lAXOMpPqYM,163,154591,[ 25 663 734]
video_189,train0036,UsaK,vT2c0O-ZU2E,130,56803,[   0    1  337 1116]
video_190,train0036,F0aK,d74BfqiKCNk,260,97412,[   0    1 1174 2990]
video_191,train0036,mMaK,uoDivZF1gJQ,155,58182,[   2    7   90 2633]
video_192,train0036,8NaK,1koNs8EHeLY,295,70598,[ 17  19  48 272 691]
video_193,train0036,KVaK,dEjGLPy9JHY,130,91360,[  20  126  220 1639]
video_194,train0036,0EaK,2ZI9GFMxCdY,210,88407,[   2    7  116  563 3029 3730]
video_195,train0036,2YaK,h30kywtQcHw,266,751167,[  11   20   22   29   32  120  173 1792]
video_196,train0037,kyaL,PWbzWRkw7_0,137,118902,[   2    7  116  198 1012]
video_197,train0037,zuaL,X9WEPS8YNkc,291,74162,[ 732 1007]
video_198,train0037,VVaL,fQPLAs15-rM,163,78514,[ 220  276 3592]
video_199,train0037,zyaL,Et2KY6OM-eQ,197,122121,[  5 762]
video_200,train0037,6OaL,bdk7zZCLACc,249,213434,[ 26 370 526 978]
video_201,train0037,cWaL,bjVo6XW4cpA,175,66973,[ 0  1 35 85]
video_202,train0037,3TaL,993Pq39BKfA,157,477932,[1601 3159]
video_203,train0037,nfaL,7bu10qRjwU8,126,88921,[141]
video_204,train0037,9ZaL,exQlnyrfkl4,209,126110,[61]
video_205,train0037,ghaL,HDqFItehqQU,206,58135,[  27 1118]
video_206,train0037,4eaL,q6jULBgzzGE,228,1029325,[ 11  20  22  29  32 176 211 321]
video_207,train0037,GhaL,31kNK9sOB14,204,121250,[ 15  18  59 178 668]
video_208,train0037,VzaL,B_2VySPx6Wk,211,57114,[  21   23   24 1899]
video_209,train0037,VLaL,srkitpGNvwk,264,54305,[   2   17   43   76  281 2302]
video_210,train0037,WyaL,8lfTS2eCq60,211,113127,[11]
video_211,train0037,bfaL,1ah_BnZNIzs,234,329039,[   1   25  285 1176 1181]
video_212,train0037,kRaL,lVypf179dWM,213,103249,[  11   22   29   32  368  692 1501 3484]
video_213,train0037,hXaL,SBdr9gFLkdw,255,99638,[ 146  158  454 3630]
video_214,train0037,hYaL,iZt3dH73HTg,147,867798,[939]
video_215,train0038,5ZaM,wgOpizLH_Nw,285,50635,[   0 1438]
video_216,train0038,MWaM,nNbRFKy5dHI,274,164515,[843]
video_217,train0038,ILaM,8I4FNjWgbig,127,190587,[ 39 121 156 207 338]
video_218,train0038,DBaM,2clDXmfcREU,299,60412,[ 497 1656]
video_219,train0038,avaM,3oQ9diZ5m_w,157,155953,[225]
video_220,train0038,KcaM,JkSYK1W8W_0,235,57290,[239]
video_221,train0038,mDaM,bRnkQWcJztA,247,218406,[ 26 130 189 610]
video_222,train0038,ygaM,u5vu0mBvW8s,159,99554,[  0 139]
video_223,train0038,95aM,TWkYYQusKNI,160,370755,[  0   1  42 290 431]
video_224,train0038,ARaM,eE0g4kiq6hM,126,57847,[223]
video_225,train0038,UNaM,FhsicCicnUc,179,117803,[8]
video_226,train0038,mJaM,mSWFOhysz6w,274,82821,[15 96]
video_227,train0038,KdaM,v4xqpqd6iGI,238,482679,[307]
video_228,train0038,fXaM,Dd8FU2aTiwo,248,60515,[  11   20   22   29   32  173  605 1045 2648]
video_229,train0038,ohaM,IY4wwLNo-ZA,246,157442,[6 8]
video_230,train0038,4UaM,tMmsmEsliAQ,158,249540,[357 372]
video_231,train0038,9paM,NMrzNq9CYGY,127,57507,[   0    1  203  467 1358 3187]
video_232,train0038,M8aM,4bq_ELAL4uc,147,93906,[  2  26  76 130 227 435 473 636 808]
video_233,train0038,1caM,l64S3ulwvas,220,54845,[ 50  65 256 850]
video_234,train0039,7VaN,iSfdOs7tWFQ,123,80476,[  2  44  46 107 109 114 138 155 507 852]
video_235,train0039,cVaN,CObMQxxVPok,238,63982,[21 23 24]
video_236,train0039,a8aN,wFUZZUE3bJM,121,93514,[12]
video_237,train0039,cEaN,vqdIPNvo6Eo,179,176725,[ 39 181 216]
video_238,train0039,gzaN,WaixBmhNYJ4,158,57572,[0 1]
video_239,train0039,SzaN,VNVnuAhBrOs,146,92175,[  2  75 208 296 745]
video_240,train0039,OUaN,t_AJ9EdjXaE,180,124789,[  2  30 308]
video_241,train0039,kNaN,_2FUE1vqBbw,167,109220,[  15  370  978 1044]
video_242,train0039,z5aN,eveJleqzNEc,129,164806,[   2    7  580 1099]
video_243,train0039,6AaN,qNMyY5Ul3jg,200,56469,[  11   22   29   32  221 1209]
video_244,train0039,liaN,aIM_dFpqNAU,248,83095,[ 15  96 397 789]
video_245,train0039,MsaN,_tnIwFiyYNM,290,846476,[   0    1   35   85 2720]
video_246,train0039,oxaN,7Vj-V7kwbP8,256,723398,[ 11 100]
video_247,train0039,2WaN,AfFiOG1XNeA,208,196072,[  0   1  36 403]
video_248,train0039,mOaN,BARTj9583Sc,230,517335,[  11 3139]
video_249,train0039,hUaN,vWIJPe912ic,180,2336291,[  5  16 244 292]
video_250,train0039,3zaN,u0hdfPlFKds,147,421167,[ 11  20  22  29  32 120 173 528 560 747 892]
video_251,train0039,U5aN,4n1elUTP8hY,169,112556,[3659]
video_252,train0039,WgaN,HT3AqaW31WI,207,66280,[  11   20   22   29   32  176  211  334 2901]
video_253,train0039,cfaN,Sb9QjbpLEYE,267,80776,[  11   22   29   32  430 1209]
video_254,train0039,SmaN,uIkrlYfK_Ic,260,88486,[  26  817 2733]
video_255,train0039,wiaN,fSKewGRwJDQ,228,57034,[   0    1   69  236  404 2993]
video_256,train0039,TZaN,gX1OwALi5-I,162,526901,[0 1 5]
video_257,train0039,S2aN,1RJYANEQjcI,218,60745,[5]
video_258,train0039,3naN,YkYSYLDKH2M,191,211568,[49]
video_259,train0039,2aaN,1VFRwkU6-Rc,189,172578,[   0    1    5  150  204 1008 1618 2196 2963]
video_260,train0039,TwaN,05ygs1CR0F8,128,80025,[  2  44  46 107 109 114 138 145 155 507 785]
video_261,train0039,uFaN,iLC_r8bFH7o,269,88285,[   0    1  976 2111]
video_262,train0040,L6aO,2W-OK20QoFc,191,488827,[  5 662]
video_263,train0040,z8aO,etWKNAU7jN8,145,112801,[313]
video_264,train0040,QbaO,k4-ysW-9PtA,211,145030,[11]
video_265,train0040,vQaO,pMQljCl5J1Q,238,58844,[ 5 49 80]
video_266,train0040,ecaO,q4rk9CSFU1c,124,82194,[ 717 1743]
video_267,train0040,JhaO,8J8Xt8-aYbs,137,69383,[  2   7 171 174 196 830]
video_268,train0040,AWaO,-C2vsxFKyc0,244,60494,[  55 1083]
video_269,train0040,H1aO,JgmBY-jjX4M,195,448750,[ 379  735 1699]
video_270,train0040,qpaO,05l7V6TneKY,261,263238,[3119]
video_271,train0040,76aO,IJ568x-wv1c,137,66741,[ 64 113 119 475]
video_272,train0040,zDaO,Bhn__RG6cX8,225,102585,[188]
video_273,train0040,knaO,tLfh81E6wgw,284,76423,[3012]
video_274,train0040,Z2aO,DZEb1plE90o,159,249488,[25]
video_275,train0040,ySaO,9z6BnUSNKW4,251,58923,[  11   20   22   29   32  112  426 1891]
video_276,train0040,8MaO,EDLB_UQh1-s,136,55818,[   5 1860]
video_277,train0040,XMaO,y6NY0VigujU,237,820237,[1206]
video_278,train0040,l3aO,-T4EfVxYw-A,223,94911,[   5 1140]
video_279,train0040,eRaO,ABEhwLzqv6E,172,672134,[  5  16 441]
video_280,train0041,wJaP,MMaJz_LuNfA,230,251086,[8]
video_281,train0041,1maP,z6t2Fg4C-zw,122,176596,[  2  44  46 155 162]
video_282,train0041,V2aP,KnsqvUxCTdQ,167,97712,[   0    5 1082]
video_283,train0041,vSaP,AnWqMpsLq8E,177,82956,[  0  52  70 125]
video_284,train0041,H8aP,0C9NpW1TjiM,166,146791,[133 325]
video_285,train0041,81aP,JGsuwyYLFBs,254,125654,[2 7]
video_286,train0041,R6aP,nEAypudaSFs,127,1417564,[551]
video_287,train0041,XwaP,y-nsld1z6xg,124,54748,[223]
video_288,train0041,VWaP,JakicLZgN-o,237,289146,[ 700  962 2608]
video_289,train0041,KraP,VhO3rWbYRtM,123,92589,[15 18 87]
video_290,train0041,vIaP,-3s9RF04bf4,291,55814,[  0   1  35 134]
video_291,train0041,pLaP,vwRdmond1mw,266,195219,[  5 707]
video_292,train0041,2PaP,SD-EM82rhEE,213,72396,[   0    1   63  450 2478]
video_293,train0041,LoaP,VeByzJmHP8c,134,118496,[ 11 690]
video_294,train0041,UOaP,yP8JkwIa-f8,260,50808,[25]
video_295,train0041,MBaP,2AvbfC8Cxw8,161,176242,[0]
video_296,train0041,eYaP,9mBysWyedts,178,279896,[8]
video_297,train0041,wFaP,5tq88SJEDJ0,152,70378,[ 688 1264 1763]
video_298,train0041,EtaP,xmzNwBVXRzk,187,175088,[106 200]
video_299,train0041,62aP,-NAtMoFzDLY,154,54532,[181 216 222 249]
video_300,train0041,UiaP,lP0B8DBTWck,219,93566,[180 270 304]
video_301,train0042,0SaQ,yYUEpFo2plo,198,169582,[  50   65  355  661 1072]
video_302,train0042,RyaQ,0aF7xj3PQdQ,298,1938736,[ 11  20  22  29  32 120 572]
video_303,train0042,PtaQ,S5p_kBqAWRo,185,53237,[   0    1    5 1377]
video_304,train0042,syaQ,te3-cATpU90,261,104472,[   2    7  171  235 1789]
video_305,train0042,uzaQ,5kaTcER0-og,159,294248,[   5   16  136  647 1444 3019]
video_306,train0042,bLaQ,XqSIMQaeAds,184,296687,[41]
video_307,train0042,uFaQ,UuyCYfu0i-g,179,85392,[15 18 87]
video_308,train0042,eSaQ,lGGH1JlfTXk,269,111071,[ 0  1 27]
video_309,train0042,RBaQ,Ackig4R5_ko,169,95318,[ 0  1 27]
video_310,train0042,8LaQ,jskWya7_FTc,180,266102,[133]
video_311,train0042,SiaQ,kL59R_m7XLw,177,390166,[8]
video_312,train0042,JOaQ,e1-YX-v2Bg4,175,77949,[92]
video_313,train0042,4DaQ,x37nMZ9RJqc,153,51079,[66]
video_314,train0042,YHaQ,ACo0JE88seo,283,50969,[ 53  58 163]
video_315,train0042,FcaQ,tutZRUJQnms,251,1309839,[ 11  20  22  29  32 334]
video_316,train0042,TLaQ,n60A-eSR8mM,122,166232,[ 2 17 19 30 55]
video_317,train0042,03aQ,EoyR6jVyDcE,220,82084,[ 71 152 849]
video_318,train0042,PRaQ,tWWSyRgW-Tc,259,59100,[106 845]
video_319,train0042,KsaQ,J3roEFBMl00,229,50925,[   2   45   51   56   77  212  803 1052]
video_320,train0042,nRaQ,lQSUwxOZ-Nw,214,50897,[  11   20   22  752 1576]
video_321,train0042,D7aQ,Qhjv3aI3h9Q,213,87448,[92]
video_322,train0042,a2aQ,zqUWkP8YGnU,296,64109,[  0   1  27 192]
video_323,train0042,OTaQ,dNEGgtY9-CM,210,501939,[  11 1942]
video_324,train0042,1kaQ,_lcUofA6kyY,164,2987532,[0 1]
video_325,train0043,mJaR,QNdPEGPfLMw,272,88827,[  0   1 354]
video_326,train0043,LwaR,wfmQklXryDo,139,198795,[   2    7   48  177  213  460 1031 1381]
video_327,train0043,ulaR,paWCCMHHr-k,213,90597,[   5 2662]
video_328,train0043,WoaR,L6Malhg3H78,188,189643,[1552]
video_329,train0043,cxaR,S4pheNcm1-k,160,163838,[ 26 130 799 815]
video_330,train0043,FSaR,AJ3Kc0sM-HI,176,55925,[ 0 12 52]
video_331,train0043,itaR,j-NEs1BipQQ,141,145547,[  99 1875]
video_332,train0043,v6aR,wt9i3HyoKgM,253,171710,[  2   7 763 957]
video_333,train0043,Y0aR,_yQRxz4jk7w,267,352561,[136]
video_334,train0043,X9aR,zYuY1NhxXDM,257,344001,[  0   1  42 306]
video_335,train0043,WraR,1bE0evRTuZU,192,173818,[  0   1 657]
video_336,train0043,nOaR,hCdXc_tdYGs,169,61989,[25]
video_337,train0043,XJaR,pWUdFd_D7gA,171,52857,[   2    7  283 2253]
video_338,train0043,7daR,w5p4zkBuyp4,217,64217,[451]
video_339,train0043,fMaR,u2FBTDe7V0s,282,135340,[ 63 557]
video_340,train0043,eVaR,lDNqCMNau9A,147,260580,[  2  30 361]
video_341,train0043,nFaR,Ajg57_8UN9Q,124,142379,[  11   20   22   29   32  112 1798]
video_342,train0043,AhaR,vSlXmmy33mc,295,708961,[  0  12 195]
video_343,train0043,UKaR,jEMTF7gZqmY,184,59248,[  8 807]
video_344,train0043,0yaR,zRG0P6v74Do,195,61928,[203]
video_345,train0043,NiaR,FF5gl0na4gk,282,83722,[   2    7   90  283 2391 3246]
video_346,train0043,2XaR,uHB8nh4Xjww,264,142373,[24]
video_347,train0043,HgaR,i-u5AG36j_A,252,52532,[  11   20   22   29  112  122  625  886 1011]
video_348,train0043,QHaR,kNQJRj9I-J4,273,51999,[ 146  343  410 1934]
video_349,train0043,NpaR,yJ3gpETgcfY,201,81002,[106 111]
video_350,train0043,rkaR,EsRnSn-nmWA,149,537628,[43]
video_351,train0043,yyaR,MtUcpYifkAk,175,235206,[ 25 734]
